T2ID,T2create_at,text
1313440763120960000,06/10/20 11:27,Wllh ana biya sbd kudin beli yawa ne dasu har namai ake cirewa
1313440625161900000,06/10/20 11:27,Kowa yayi da damisa ya duba jikinsa.
1313439995701720000,06/10/20 11:24,Duk wanda ka gani a cikin motar kai shi ka yi ba shi ya kai.kai nai ba
1313439547422840000,06/10/20 11:22,Allah ya tsinewa masu 'karya
1313439251372150000,06/10/20 11:21,"Mutane Basu D Adalcin Magana, Shugaba Yace Zaiyi, Dan Hk Sai a Masa Fatan Alkhairi D Nema Masa Taimakon U d"
1313438974992680000,06/10/20 11:20,"Allah sarki malamin ingilishi na,Allah ya gafarta masa."
1313437300123220000,06/10/20 11:13,Wata sabuwa inji Dan caca
1313436857615690000,06/10/20 11:12,"Allah Sarki ,Allah ya baku zama lafiya ,da zuriyar da su bazasuyi irin wannan kuskuren ba."
1313436783774970000,06/10/20 11:11,Allah ya yafemana
1313436685984820000,06/10/20 11:11,Sai me? Duk wanda ya bi dan qwaya zanga zanga ruwan sa.
1313435969840990000,06/10/20 11:08,Badantaba mancewa da mlm Fatima English teacher na primary school.
1313435656979450000,06/10/20 11:07,Na dadinma bamuci muriyaba balle Wanda za a gyara.
1313435548153940000,06/10/20 11:06,"Abu daya shugaba buhari ya kamata ya duba mana a halin yanzu, aikin ruwan da shugaba marigayi yar'adua ya"
1313435308881580000,06/10/20 11:05,Haka ne mana amma fasali irin na tabarbarewar kasa ba
1313434807981010000,06/10/20 11:03,Allah ya bad a saa
1313434732252800000,06/10/20 11:03,Babu mamaki idan tana da rashin lafiyar qwaqwalwa ko kuma cutar aljanu don haka yana da kyau a taimake ta d
1313434704054550000,06/10/20 11:03,wannan gaskiya ne Dattawan Arewa
1313434646852580000,06/10/20 11:03,Hahhh. Kyakkyawan zancen ji.
1313434013919480000,06/10/20 11:00,Allah yasa dagaske akeyi to
1313431892801260000,06/10/20 10:52,Allah ya kare nagaba.
